cardTotal, count, Alpha(true), Alpha(false), 
7, -15, 78.86516341385878, 21.13483658614122, 
7, -14, 98.08159623194459, 1.9184037680554127, 
7, -13, 92.64826024339041, 7.3517397566095894, 
7, -12, 100.0, 0.0, 
7, -11, 100.0, 0.0, 
7, -10, 100.0, 0.0, 
7, -9, 100.0, 0.0, 
7, -8, 100.0, 0.0, 
7, -7, 100.0, 0.0, 
7, -6, 100.0, 0.0, 
7, -5, 100.0, 0.0, 
7, -4, 100.0, 0.0, 
7, -3, 100.0, 0.0, 
7, -2, 100.0, 0.0, 
7, -1, 100.0, 0.0, 
7, 0, 100.0, 0.0, 
7, 1, 100.0, 0.0, 
7, 2, 100.0, 0.0, 
7, 3, 100.0, 0.0, 
7, 4, 100.0, 0.0, 
7, 5, 100.0, 0.0, 
7, 6, 100.0, 0.0, 
7, 7, 100.0, 0.0, 
7, 8, 100.0, 0.0, 
7, 9, 100.0, 0.0, 
7, 10, 100.0, 0.0, 
7, 11, 100.0, 0.0, 
7, 12, 100.0, 0.0, 
7, 13, 100.0, 0.0, 
7, 14, 100.0, 0.0, 
7, 15, 100.0, 0.0, 
7, 16, 99.99972434000058, 2.756599994171438E-4, 
7, 17, 75.63166153448881, 24.368338465511187, 
7, 18, 53.931825632724326, 46.068174367275674, 
7, 19, 61.549646857296736, 38.450353142703264, 
7, 20, 53.931825632724326, 46.068174367275674, 
7, 23, 53.931825632724326, 46.068174367275674, 
8, -19, 53.931825632724326, 46.068174367275674, 
8, -18, 50.0, 50.0, 
8, -17, 57.78342270190136, 42.21657729809864, 
8, -16, 57.78342270190136, 42.21657729809864, 
8, -15, 65.22468985620137, 34.775310143798634, 
8, -14, 78.86516341385878, 21.13483658614122, 
8, -13, 96.59998924720671, 3.4000107527932926, 
8, -12, 100.0, 0.0, 
8, -11, 100.0, 0.0, 
8, -10, 100.0, 0.0, 
8, -9, 100.0, 0.0, 
8, -8, 100.0, 0.0, 
8, -7, 100.0, 0.0, 
8, -6, 100.0, 0.0, 
8, -5, 100.0, 0.0, 
8, -4, 100.0, 0.0, 
8, -3, 100.0, 0.0, 
8, -2, 100.0, 0.0, 
8, -1, 100.0, 0.0, 
8, 0, 100.0, 0.0, 
8, 1, 100.0, 0.0, 
8, 2, 100.0, 0.0, 
8, 3, 100.0, 0.0, 
8, 4, 100.0, 0.0, 
8, 5, 100.0, 0.0, 
8, 6, 100.0, 0.0, 
8, 7, 100.0, 0.0, 
8, 8, 100.0, 0.0, 
8, 9, 100.0, 0.0, 
8, 10, 100.0, 0.0, 
8, 11, 100.0, 0.0, 
8, 12, 100.0, 0.0, 
8, 13, 100.0, 0.0, 
8, 14, 100.0, 0.0, 
8, 15, 100.0, 0.0, 
8, 16, 87.68701296208, 12.312987037919996, 
8, 17, 68.80194785089488, 31.198052149105123, 
8, 18, 57.78342270190136, 42.21657729809864, 
8, 19, 61.549646857296736, 38.450353142703264, 
8, 20, 53.931825632724326, 46.068174367275674, 
8, 21, 53.931825632724326, 46.068174367275674, 
8, 22, 53.931825632724326, 46.068174367275674, 
8, 23, 53.931825632724326, 46.068174367275674, 
8, 24, 50.0, 50.0, 
9, -18, 57.78342270190136, 42.21657729809864, 
9, -17, 75.63166153448881, 24.368338465511187, 
9, -16, 75.63166153448881, 24.368338465511187, 
9, -15, 78.86516341385878, 21.13483658614122, 
9, -14, 100.0, 0.0, 
9, -13, 100.0, 0.0, 
9, -12, 100.0, 0.0, 
