0, 353, 
1000, 711, 
2000, 1082, 
3000, 1511, 
4000, 1904, 
5000, 2300, 
6000, 2677, 
7000, 3071, 
8000, 3455, 
9000, 3848, 
10000, 4259, 
11000, 4654, 
12000, 5047, 
13000, 5454, 
14000, 5856, 
15000, 6273, 
16000, 6681, 
17000, 7052, 
18000, 7453, 
19000, 7845, 
20000, 8244, 
21000, 8657, 
22000, 9040, 
23000, 9425, 
24000, 9812, 
25000, 10225, 
26000, 10634, 
27000, 11017, 
28000, 11383, 
29000, 11760, 
30000, 12153, 
31000, 12546, 
32000, 12937, 
33000, 13319, 
34000, 13706, 
35000, 14113, 
36000, 14513, 
37000, 14906, 
38000, 15297, 
39000, 15701, 
40000, 16105, 
41000, 16502, 
42000, 16891, 
43000, 17270, 
44000, 17666, 
45000, 18107, 
46000, 18515, 
47000, 18897, 
48000, 19320, 
49000, 19724, 
50000, 20110, 
51000, 20501, 
52000, 20904, 
53000, 21304, 
54000, 21690, 
55000, 22086, 
56000, 22471, 
57000, 22869, 
58000, 23270, 
59000, 23648, 
60000, 24021, 
61000, 24413, 
62000, 24819, 
63000, 25228, 
64000, 25635, 
65000, 26014, 
66000, 26409, 
67000, 26820, 
68000, 27205, 
69000, 27607, 
70000, 27986, 
71000, 28404, 
72000, 28799, 
73000, 29169, 
74000, 29558, 
75000, 29956, 
76000, 30343, 
77000, 30760, 
78000, 31170, 
79000, 31587, 
80000, 31961, 
81000, 32366, 
82000, 32780, 
83000, 33154, 
84000, 33551, 
85000, 33919, 
86000, 34328, 
87000, 34738, 
88000, 35135, 
89000, 35512, 
90000, 35899, 
91000, 36295, 
92000, 36699, 
93000, 37108, 
94000, 37500, 
95000, 37897, 
96000, 38268, 
97000, 38655, 
98000, 39034, 
99000, 39395, 
100, 100000
